S.No,Name,CMP Rs,PE,Mar Cap Rs Cr,Div Yld %,NP Qtr Rs Cr,Qtr Profit Var %,Sales Qtr Rs Cr,Qtr Sales Var %,ROCE %
249,AIA Engineering,3699.15,30.65,34520.61,0.42,277.48,8.07,1047.76,0.34,18.92
250,K P R Mill Ltd,978.45,39.93,33444.83,0.51,218.03,6.36,1632.03,10.27,19.84
251,ACC,1780.75,10.24,33440.23,0.42,1119.26,401.44,5931.67,27.99,17.44
252,Apollo Tyres,522.50,25.29,33184.07,0.95,258.05,25.57,6831.09,6.12,11.44
253,Ajanta Pharma,2653.10,34.03,33146.63,1.09,260.19,20.19,1353.73,14.08,32.37
254,Thermax,2778.35,55.72,33105.73,0.49,119.40,-39.27,2473.90,-5.42,16.22
255,NLC India,237.10,12.58,32877.09,1.25,724.80,-27.06,4178.41,14.25,10.51
256,KPIT Technologi.,1198.35,42.46,32852.02,0.70,169.09,-17.01,1587.71,7.90,40.88
257,Central Bank,36.24,7.24,32802.23,1.09,1234.06,33.34,8776.54,6.57,5.48
258,Aster DM Health.,630.80,89.08,32683.12,0.78,121.31,13.83,1197.21,10.20,10.68
259,Metro Brands,1189.55,91.13,32402.67,0.49,68.98,-2.67,651.14,11.22,19.42
260,AWL Agri Busine.,247.05,29.68,32108.52,0.00,244.85,-21.32,17604.57,21.74,20.89
261,Go Digit General,344.35,62.59,31808.34,0.00,135.60,51.56,2488.04,11.35,10.80
262,CRISIL,4345.60,42.47,31779.37,0.57,193.10,12.56,911.24,12.24,35.60
263,Exide Inds.,371.00,39.96,31535.00,0.54,173.64,-25.66,4364.51,-1.92,8.65
264,Global Health,1161.85,52.24,31229.43,0.04,158.40,21.09,1099.22,14.91,19.74
265,C D S L,1481.40,65.46,30961.26,0.82,139.94,-13.46,318.89,-1.05,41.96
266,Navin Fluo.Intl.,5947.65,68.57,30473.73,0.21,148.37,152.24,758.42,46.26,11.68
267,Tata Elxsi,4864.45,45.18,30303.14,1.51,154.82,-32.52,918.10,-3.87,36.26
268,Delhivery,403.95,218.67,30219.40,0.00,-50.50,-593.92,2559.32,16.88,2.47
269,Honeywell Auto,34066.00,58.35,30114.34,0.31,119.50,3.82,1149.40,12.26,18.40
270,TVS Holdings,14749.50,20.73,29841.37,0.63,880.08,59.15,14549.15,25.92,15.21
271,Mindspace Busine,487.69,57.18,29709.28,3.27,126.79,10.54,772.01,18.98,6.53
272,Motherson Wiring,44.50,48.11,29510.93,1.27,165.34,8.72,2761.86,18.76,42.53
273,Sona BLW Precis.,472.00,46.86,29345.29,0.67,170.46,14.34,1138.29,23.43,17.82
274,LIC Housing Fin.,532.00,5.31,29263.33,1.86,1349.37,1.62,7179.25,3.48,8.93
275,SJVN,74.00,52.17,29080.49,1.97,307.80,-30.20,1032.40,0.60,4.91
276,ITI,301.40,,29029.60,0.00,-54.24,24.09,543.40,-46.53,-1.33
277,National High,149.00,68.71,28859.07,4.84,112.09,58.27,1001.55,76.71,3.38
278,NBCC,106.80,43.18,28836.00,0.62,156.69,25.71,2910.20,18.99,33.17
279,J B Chemicals &,1809.35,39.49,28343.65,0.85,207.82,19.05,1084.90,8.42,25.79
280,Gland Pharma,1706.00,35.58,28107.42,1.06,183.68,12.32,1486.88,5.77,11.89
281,PTC Industries,18626.60,444.42,27926.02,0.00,18.14,4.79,124.63,72.21,7.74
282,Pine Labs,242.90,,27891.57,0.00,5.97,118.65,649.90,17.83,-0.49
283,Star Health Insu,468.90,51.75,27590.03,0.00,54.90,-50.67,4377.78,7.87,11.98
284,Garden Reach Sh.,2392.70,44.59,27408.81,0.58,153.79,57.30,1677.38,45.49,36.64
285,ZF Commercial,14379.00,57.16,27262.57,0.13,106.47,-2.62,901.80,-0.54,20.15
286,Gujarat Gas,395.10,24.36,27198.26,1.47,279.81,-9.37,3780.40,-0.04,19.50
287,Inventurus Knowl,1575.95,44.39,27053.25,0.00,180.72,59.93,781.09,21.52,27.20
288,Aegis Vopak Term,244.00,149.52,27035.00,0.00,53.94,141.77,187.63,26.22,7.01
289,M R P L,153.80,26.01,26954.94,0.00,627.36,190.02,22648.57,-9.29,4.38
290,Gillette India,8220.50,46.70,26790.61,1.35,143.65,8.00,810.81,3.71,56.06
291,Emcure Pharma,1411.60,33.41,26758.95,0.21,251.37,25.13,2269.82,13.38,20.72
292,Krishna Institu.,661.50,80.53,26469.21,0.00,72.00,-37.45,960.70,23.59,15.00
293,New India Assura,160.40,22.74,26433.92,1.11,55.30,-39.73,13449.68,24.70,3.59
294,Tata Technolog.,644.00,37.68,26129.90,1.28,165.50,5.14,1323.33,2.07,25.80
295,Kaynes Tech,3894.05,68.88,26103.55,0.00,121.41,101.64,906.22,58.40,14.28
296,Indraprastha Gas,185.15,16.18,25921.03,2.25,384.95,-15.08,4023.40,8.81,20.85
297,Aegis Logistics,738.10,36.18,25907.32,0.96,244.02,42.61,2294.01,31.05,13.20
298,Nuvama Wealth,7030.15,24.87,25562.47,2.07,253.98,-1.36,1134.71,7.75,20.40
299,Asahi India Glas,995.90,88.54,25388.22,0.20,58.19,-40.77,1151.22,-0.56,12.45
300,Syngene Intl.,629.05,54.14,25346.86,0.20,67.10,-36.76,910.60,2.20,13.52
301,IRB Infra.Devl.,41.96,29.00,25339.66,0.70,140.82,41.00,1751.02,10.42,7.82
302,Ather Energy,647.85,,24709.55,0.00,-154.10,21.86,898.90,54.05,-65.71
303,Nexus Select,160.91,50.25,24377.89,2.75,132.32,20.03,630.89,13.19,5.17
304,The Ramco Cement,1021.40,127.35,24134.88,0.20,77.88,200.93,2238.74,9.52,4.77
305,Dr Lal Pathlabs,2874.30,45.12,24079.58,0.81,152.20,16.41,730.60,10.66,28.88
306,IIFL Finance,563.40,27.92,23957.32,0.00,417.94,25.08,3305.11,29.31,8.81
307,Firstsour.Solu.,338.50,36.15,23932.87,1.15,179.52,28.79,2312.22,20.09,15.37
308,Anand Rathi Wea.,2870.35,69.37,23829.93,0.37,99.90,30.53,297.37,22.64,56.26
309,EIH,379.45,31.12,23729.46,0.39,116.56,-17.77,597.94,1.52,23.43
310,Manappuram Fin.,277.70,52.34,23505.47,1.25,217.31,-61.47,2283.46,-13.28,11.03
311,Himadri Special,463.60,35.70,23389.49,0.13,176.14,30.51,1071.03,-5.80,22.01
312,Karur Vysya Bank,241.45,11.15,23333.84,0.89,573.96,21.19,2807.97,17.66,7.38
313,JSW Holdings,20820.15,196.27,23110.38,0.00,59.61,-49.60,83.57,-48.47,0.85
314,Amber Enterp.,6559.00,103.53,23069.29,0.00,-32.15,-271.15,1647.01,-2.24,14.49
315,PNB Housing,884.00,10.53,23029.00,0.57,626.49,32.82,2167.91,16.08,9.46
316,Pfizer,5029.60,32.54,23009.28,0.69,189.02,19.37,642.34,9.13,21.62
317,Emami,525.90,30.44,22955.55,1.53,148.35,-30.24,798.51,-10.34,32.42
318,Affle 3i,1629.70,54.65,22926.15,0.00,110.51,20.13,646.72,19.13,16.82
319,Bandhan Bank,141.70,18.57,22827.47,1.06,111.87,-88.07,5353.83,-2.65,7.82
320,Piramal Pharma,171.65,,22816.50,0.08,-99.22,-539.22,2043.72,-8.83,6.45
321,Sumitomo Chemi.,456.60,42.13,22791.03,0.25,177.90,-6.78,914.44,-5.86,25.14
322,Hatsun Agro,1023.15,63.48,22790.49,0.58,120.18,86.85,2381.32,14.92,13.12
323,Timken India,3029.60,50.12,22788.28,1.19,89.47,-0.53,772.99,2.67,20.93
324,Sagility,48.51,28.36,22709.11,0.10,250.83,113.76,1658.50,25.17,9.58
325,Astrazeneca Phar,9030.55,97.68,22576.39,0.35,54.22,51.26,559.09,37.03,33.40
326,Angel One,2479.95,28.85,22527.71,1.89,211.73,-49.99,1201.76,-20.66,25.80
327,CESC,168.15,15.36,22289.47,3.54,445.00,20.40,5267.00,12.06,11.23
328,HBL Engineering,800.75,33.54,22196.37,0.12,387.26,364.85,1222.90,134.74,27.33
329,Shyam Metalics,792.20,22.79,22112.80,0.54,260.45,21.47,4457.02,22.65,12.05
330,Force Motors,16778.40,26.96,22107.66,0.23,350.70,159.72,2081.40,7.22,29.99
331,ERIS Lifescience,1619.35,53.04,22058.35,0.44,134.47,31.23,792.41,6.91,12.22
332,Jyoti CNC Auto.,960.80,63.14,21850.87,0.00,85.50,12.68,507.90,17.93,24.35
333,Sun TV Network,553.00,13.15,21792.88,2.67,354.69,-13.42,1299.87,38.92,20.40
334,Wockhardt,1331.30,394.26,21632.51,0.00,82.00,454.55,782.00,-3.34,3.75
335,Redington,275.90,15.80,21569.17,2.42,350.20,32.42,29075.61,16.79,18.90
336,Brigade Enterpr.,879.20,26.99,21496.29,0.29,170.28,36.58,1383.37,29.03,13.34
337,Brookfield India,335.58,58.04,21477.47,3.51,149.38,354.27,670.63,13.63,5.38
338,N S D L,1066.80,62.39,21336.00,0.19,110.39,14.75,400.04,12.15,23.57
339,Welspun Corp,801.70,11.93,21148.07,0.63,443.51,48.67,4373.61,32.46,21.24
340,eClerx Services,4420.00,34.30,21061.49,0.02,183.46,30.62,1004.85,20.80,27.97
341,Aditya AMC,729.00,21.66,21046.91,3.25,241.32,-0.42,461.32,8.75,35.51
342,Aadhar Hsg. Fin.,484.10,21.28,20999.64,0.00,266.47,17.12,897.13,17.38,11.42
343,Neuland Labs.,16311.05,106.90,20926.89,0.07,96.85,194.91,514.27,65.45,18.66
344,Deepak Nitrite,1527.90,39.32,20839.49,0.49,118.75,-38.87,1901.89,-6.40,16.28
345,Inox Wind,120.25,40.83,20782.18,0.00,120.62,257.20,1119.18,52.68,11.52
346,CreditAcc. Gram.,1270.40,152.09,20328.12,0.00,125.81,-32.38,1508.35,3.79,9.55
347,Cohance Life,529.00,58.90,20237.82,0.00,66.39,-46.50,555.57,-7.98,14.89
348,KIOCL,332.60,,20213.79,0.00,-17.16,75.21,142.54,783.15,-9.48
349,Kalpataru Proj.,1168.30,24.28,19951.39,0.76,237.39,91.27,6528.57,32.43,15.95
350,Bayer Crop Sci.,4400.00,32.45,19774.51,2.86,152.70,12.03,1553.40,-10.60,24.80
351,City Union Bank,266.45,16.34,19773.20,0.75,328.59,15.22,1653.13,15.29,6.86
352,Sundram Fasten.,931.50,35.31,19573.48,0.77,152.75,5.89,1521.02,2.35,17.14
353,Pun. & Sind Bank,27.42,16.75,19456.10,0.25,294.52,22.93,2998.87,9.49,5.98
354,OneSource Speci.,1692.45,140.61,19389.02,0.00,10.49,127.55,375.76,12.49,5.52
355,Chalet Hotels,886.10,33.54,19382.48,0.11,154.82,211.81,735.31,95.02,11.13
356,Tata Chemicals,751.50,58.67,19145.25,1.42,154.00,-49.38,3877.00,-3.05,3.96
357,Poly Medicure,1888.40,52.93,19140.71,0.18,91.80,5.02,443.88,5.68,20.08
358,Tenneco Clean,472.70,33.73,19078.43,0.00,150.68,10.00,1280.64,9.58,57.30
359,DCM Shriram,1208.20,26.45,18840.95,0.73,158.72,151.18,3271.68,10.63,11.37
360,Cube Highways,140.00,607.20,18816.97,4.36,40.22,234.52,1051.62,28.30,3.91
361,RBL Bank,302.55,38.87,18666.74,0.33,178.52,-19.77,3507.47,-0.66,6.04
362,EID Parry,1046.25,18.22,18609.98,0.00,766.16,38.86,11624.44,24.59,16.59
363,Sai Life,882.55,64.85,18563.70,0.00,83.84,101.98,537.47,35.88,14.05
364,Castrol India,187.40,18.98,18536.18,4.55,227.80,9.82,1362.75,5.79,55.16
365,A B Real Estate,1657.20,,18510.21,0.12,-17.82,-5413.58,97.84,-63.27,-0.16
366,Urban Company,128.00,,18510.21,0.00,-52.39,-586.90,747.30,33.90,2.37
367,Century Plyboard,830.45,79.64,18450.36,0.13,70.95,72.42,1385.53,17.06,10.38
368,Anant Raj,509.70,37.29,18342.97,0.14,138.18,30.82,630.79,23.00,11.17
369,Bikaji Foods,730.00,84.64,18293.23,0.14,77.68,19.72,830.30,15.13,18.16
370,Cams Services,737.80,41.57,18271.58,1.67,110.94,-3.71,353.89,3.51,54.75
371,KEC International,683.50,26.61,18194.80,0.80,160.75,88.21,6091.56,19.13,17.98
372,Kansai Nerolac,224.15,27.85,18122.98,1.12,133.31,9.89,1954.18,0.14,13.03
373,TBO Tek,1667.65,81.45,18108.66,0.00,67.55,12.41,567.51,25.92,26.68
374,IndiGrid Trust,168.81,63.25,17970.30,6.44,38.63,-54.90,826.72,-1.08,7.51
375,KFin Technolog.,1028.00,51.27,17722.84,0.71,93.31,4.47,309.23,10.25,32.75
376,Alembic Pharma,888.55,27.52,17465.63,1.23,183.71,28.80,1910.15,15.91,13.05
377,Netweb Technol.,3077.50,129.35,17435.23,0.08,31.43,20.05,303.72,20.98,32.45
378,Grindwell Norton,1569.30,45.64,17375.30,1.07,107.43,11.12,774.74,11.65,20.90
379,BASF India,4003.65,45.04,17330.06,0.50,101.05,-21.02,3904.04,-8.09,18.02
380,Aditya Infotech,1473.50,88.06,17320.27,0.00,69.98,196.78,919.64,37.48,19.49
381,Atul,5879.00,31.91,17308.79,0.43,182.37,31.01,1551.85,11.42,12.81
382,Capri Global,179.70,24.08,17289.92,0.11,236.00,143.35,1121.37,49.18,11.18
383,Amara Raja Ener.,944.20,21.45,17281.21,1.10,302.40,-12.10,3388.18,8.05,16.75
384,Allied Blenders,617.45,67.22,17270.67,0.59,62.92,35.22,990.06,14.11,21.08
385,Sarda Energy,489.05,16.21,17233.17,0.31,327.77,65.39,1527.78,31.86,15.27
386,Schneider Elect.,719.95,70.12,17214.03,0.00,52.32,-3.59,650.14,8.41,40.90
387,Chambal Fert.,426.50,9.11,17087.80,2.31,648.75,20.95,6412.76,47.55,26.76
388,Ratnamani Metals,2435.00,28.14,17067.40,0.58,156.04,35.69,1191.69,22.69,21.51
389,Triveni Turbine,533.40,49.58,16956.00,0.74,91.40,0.33,506.20,1.02,41.36
390,Jubilant Pharmo,1062.90,34.09,16932.03,0.46,119.90,9.81,1966.40,12.22,9.54
391,Travel Food,1283.10,48.15,16895.81,0.00,97.90,-10.62,355.89,-28.88,41.69
392,Five-Star Bus.Fi,567.35,15.09,16707.05,0.35,286.14,6.79,799.44,13.87,16.34
393,Craftsman Auto,6993.95,64.05,16684.42,0.07,90.86,47.85,2001.59,64.88,11.74
394,Kajaria Ceramics,1044.30,41.45,16632.81,0.86,133.98,58.45,1186.01,0.57,17.13
395,Devyani Intl.,134.80,,16619.17,0.00,-23.95,-98719.25,1376.75,12.65,6.42
396,Ventive Hospital,707.55,71.38,16524.24,0.00,64.24,193.44,489.33,89.74,11.73
397,Zensar Tech.,719.80,23.36,16366.30,1.79,182.20,17.02,1421.30,8.66,21.28
398,Vinati Organics,1575.05,35.07,16327.82,0.47,129.02,21.59,546.27,-1.27,20.61
399,Paradeep Phosph.,156.90,16.71,16285.74,0.64,341.94,33.92,6872.20,48.78,13.72
400,Carborundum Uni.,853.50,65.04,16254.15,0.46,74.26,-35.69,1298.08,6.04,16.12
401,Prime Focus,209.40,135.12,16249.26,0.00,4.07,-89.22,1060.94,18.27,7.95
402,Kirloskar Oil,1113.65,33.18,16184.86,0.58,159.19,33.60,1948.38,29.50,13.68
403,Choice Intl.,725.55,89.13,16163.55,0.00,56.46,20.12,274.43,10.93,19.95
404,Vertis Infra.,107.00,26.90,16156.83,0.00,188.20,77.33,1001.66,95.66,9.51
405,Mah. Scooters,14133.75,52.14,16152.84,1.16,267.07,76.68,271.02,66.10,0.59
406,LMW,15107.50,134.18,16139.33,0.20,40.92,67.29,821.88,6.88,4.48
407,Crompton Gr. Con,250.20,33.16,16110.71,1.18,75.42,-31.79,1915.57,1.02,19.01
408,Guj.St.Petronet,283.85,15.53,16015.14,1.80,389.03,-7.42,4007.87,0.39,15.16
409,Akzo Nobel,3512.00,40.97,15993.79,2.83,1682.70,-14.84,834.90,-15.01,41.66
410,R R Kabel,1413.00,39.61,15979.56,0.43,116.26,134.73,2163.77,19.54,19.77
411,Elitecon Inter.,99.38,68.98,15885.89,0.05,117.20,,2192.09,,
412,Godawari Power,235.45,21.27,15770.35,0.43,161.65,1.78,1307.68,3.16,23.25
413,A B Lifestyle,129.00,144.85,15744.51,0.00,23.44,-40.75,2037.90,3.71,
414,Nava,556.15,16.94,15739.17,1.39,177.50,-47.98,963.73,7.02,17.17
415,JSW Cement,115.40,448.50,15733.16,0.00,75.36,234.23,1436.43,17.38,4.64
416,Dr Agarwal's Hea,493.00,134.32,15587.26,0.00,36.49,79.07,498.69,19.71,9.99
417,Deepak Fertilis.,1234.20,15.77,15580.34,0.79,214.02,1.48,3005.83,9.43,15.67
418,SignatureGlobal,1106.90,200.00,15553.13,0.00,-46.86,-1240.15,338.49,-54.83,5.42
419,Natco Pharma,867.85,10.01,15543.97,0.67,517.90,-23.46,1363.00,-0.59,32.78
420,G M D C,488.45,23.79,15532.71,1.99,465.75,-8.84,527.58,-11.03,14.06
421,GE Shipping Co,1086.45,8.69,15510.86,2.72,581.41,28.01,1241.78,-8.32,13.86
422,Sobha,1448.30,104.12,15487.09,0.21,72.53,178.00,1407.62,50.77,6.44
423,CIE Automotive,406.80,19.27,15432.44,1.72,213.94,9.49,2371.84,11.11,16.59
424,PG Electroplast,540.95,60.66,15415.23,0.04,2.76,-85.72,655.37,-2.37,19.36
425,CEAT,3808.65,29.41,15406.00,0.78,185.71,52.54,3772.65,14.17,15.40
426,Elgi Equipments,486.10,39.57,15404.95,0.45,121.40,28.17,968.00,11.41,21.91
427,DOMS Industries,2521.60,71.26,15303.02,0.12,60.86,13.52,567.91,24.06,26.18
428,RRPSemiconductor,11207.00,,15268.42,0.00,-7.15,-492.86,-6.82,-220.49,80.21
429,Ola Electric,34.34,,15146.78,0.00,-418.00,15.56,690.00,-43.16,-28.09
430,Brainbees Solut.,284.10,,14829.81,0.00,-50.54,33.09,2099.08,10.19,-0.40
431,Anupam Rasayan,1295.50,97.52,14749.12,0.06,57.15,166.29,731.40,148.81,7.33
432,Caplin Point Lab,1931.15,24.92,14678.99,0.31,160.23,18.08,534.04,10.54,25.85
433,Afcons Infrastr.,397.90,29.12,14634.11,0.63,105.08,-22.42,2988.39,0.97,19.59
434,Concord Biotech,1391.00,44.99,14552.14,0.76,63.06,-33.59,247.06,-20.35,28.25
435,Vedant Fashions,596.35,37.52,14489.48,1.34,56.08,-16.17,263.15,-1.79,25.93
436,V-Guard Industri,332.00,49.88,14486.61,0.44,65.29,3.00,1340.92,3.63,19.50
437,Gallantt Ispat L,600.05,29.39,14478.03,0.21,88.93,81.90,1012.75,7.45,19.20
438,Aptus Value Hou.,288.90,17.16,14465.93,1.58,226.55,24.50,544.04,29.11,15.05
439,Data Pattern,2548.25,61.09,14266.13,0.30,49.19,62.45,307.46,237.79,21.00
440,Intellect Design,1020.15,35.27,14209.89,0.38,101.92,93.66,758.09,35.83,16.76
441,UTI AMC,1105.80,24.13,14189.26,2.38,132.20,-52.75,418.55,-22.26,21.02
442,Syrma SGS Tech.,735.25,61.62,14177.91,0.20,66.34,76.77,1145.89,37.60,11.67
443,International Ge,327.25,27.68,14142.50,0.76,129.79,18.42,303.74,21.43,68.01
444,Trident,27.75,31.89,14141.28,1.82,90.93,9.30,1787.17,4.33,9.48
445,Minda Corp,591.10,52.94,14131.97,0.24,84.64,13.86,1535.36,19.02,12.66
446,Tega Inds.,1879.25,59.72,14118.38,0.11,44.94,522.44,405.35,14.73,17.80
447,C P C L,947.00,12.08,14101.85,0.53,719.19,213.49,16327.34,35.09,4.30
448,Reliance Power,34.08,47.01,14094.75,0.00,87.32,138.49,1974.03,12.17,6.15
449,Ircon Intl.,149.80,23.40,14088.87,1.73,136.51,-32.68,1976.75,-19.23,11.60
450,Swan Corp,448.20,24.18,14049.13,0.02,-5.87,-107.45,1138.34,10.28,-1.44
451,BEML Ltd,1679.50,47.27,13988.39,0.63,48.03,-5.88,839.09,-2.41,15.56
452,Shriram Pistons,3154.95,25.69,13897.51,0.31,142.10,12.10,1016.50,15.97,25.70
453,Belrise Industri,156.00,30.47,13882.05,0.35,132.98,81.54,2353.54,13.77,14.30
454,Emmvee Photovol.,200.25,24.20,13864.17,0.00,237.86,577.28,1131.00,181.06,28.01
455,Rainbow Child.,1359.40,54.42,13805.91,0.22,75.62,-4.59,444.80,6.55,18.69
456,Cemindia Project,802.00,30.89,13777.37,0.24,107.69,49.44,2175.45,9.27,27.64
457,Acutaas Chemical,1682.55,61.50,13775.25,0.09,71.86,93.52,306.20,24.10,19.92
458,Gabriel India,957.65,61.26,13756.06,0.49,60.65,15.11,1066.08,15.38,26.14
459,Niva Bupa Health,73.77,147.13,13626.09,0.00,-35.27,-370.89,1574.03,19.13,7.45
460,Welspun Living,141.90,38.50,13610.28,1.20,14.86,-93.54,2440.91,-15.04,14.41
461,Zydus Wellness,426.10,48.14,13556.80,0.28,-52.80,-256.82,650.50,31.97,6.16
462,Jain Resource,392.65,53.45,13549.84,0.00,98.64,80.53,2054.91,52.96,27.20
463,Indiamart Inter.,2252.10,25.18,13532.26,1.33,82.70,-38.79,391.00,12.45,34.24
464,Granules India,555.00,26.37,13468.09,0.27,130.61,34.33,1296.98,34.18,15.14
465,L T Foods,387.80,21.22,13466.51,0.77,163.85,10.42,2765.74,31.22,19.18
466,JM Financial,140.80,11.74,13465.25,1.87,261.89,16.30,1031.28,-13.37,9.39
467,Cartrade Tech,2797.70,71.54,13371.26,0.00,64.07,113.99,193.41,25.42,7.59
468,Fine Organic,4351.30,33.33,13341.08,0.25,108.55,-7.57,597.29,0.25,26.39
469,Gravita India,1800.15,36.66,13286.65,0.34,95.97,33.32,1035.50,11.65,21.50
470,JBM Auto,559.05,63.53,13221.26,0.15,55.22,5.65,1368.24,6.40,14.20
471,ACME Solar Hold.,217.05,25.99,13152.62,0.09,115.06,631.63,467.75,80.19,8.42
472,BLS Internat.,318.50,21.76,13113.85,0.31,185.70,26.77,736.63,48.81,33.62
473,SZF India Indus.,2652.00,,13110.92,0.00,-0.56,,0.00,,
474,Leela Palaces Hotels,392.30,75.26,13101.22,0.00,74.73,246.02,310.65,12.09,11.98
475,Usha Martin,429.60,31.02,13091.68,0.68,109.80,16.20,907.56,1.84,18.75
476,The Bombay Burmah,1863.95,11.64,13005.02,0.91,565.97,-4.85,4942.83,3.82,35.52
477,CCL Products,973.80,38.45,13002.96,0.51,100.86,36.39,1126.73,52.63,13.14
478,IFCI,47.90,33.84,12905.79,0.00,317.40,71.83,732.28,18.66,8.08
479,Vardhman Textile,444.65,15.26,12860.92,1.12,187.76,-4.99,2480.10,-0.89,10.83
480,Aarti Industries,354.55,47.80,12855.75,0.29,106.00,68.00,2100.00,28.99,6.32
481,KSB,738.20,48.92,12847.58,0.53,67.50,9.40,649.60,5.37,23.82
482,Blue Dart Expres,5392.95,48.07,12797.52,0.46,81.38,29.50,1549.33,6.96,16.33
483,India Cements,412.85,,12794.10,0.00,8.81,111.61,1117.04,9.32,-5.49
484,Lemon Tree Hotel,161.45,58.12,12790.82,0.00,41.93,16.73,306.28,7.70,12.98
485,Indegene,531.40,28.67,12770.45,0.38,102.10,11.34,804.20,17.09,24.80
486,Cyient,1140.90,22.58,12675.65,2.19,142.90,-34.47,1781.00,-3.68,16.58
487,Techno Elec.Engg,1082.00,28.21,12583.68,0.82,103.98,10.37,843.43,91.07,16.54
488,JP Power Ven.,18.33,16.89,12562.40,0.00,182.10,-0.31,1438.30,17.28,10.26
489,Bata India,976.05,67.46,12544.96,1.95,13.90,-63.66,801.33,-4.28,15.14
490,Eureka Forbes,647.40,68.03,12520.93,0.00,61.59,38.40,773.45,14.95,5.04
491,Indian Energy Ex,139.65,27.68,12452.51,2.13,121.61,14.64,152.24,9.34,53.61
492,Kirl. Brothers,1565.95,31.41,12435.06,0.44,72.20,-27.77,1027.70,-0.78,27.59
493,Supreme Petroch.,657.50,40.26,12363.74,1.50,48.20,-46.65,1100.15,-26.93,22.76
494,Zen Technologies,1366.85,49.98,12341.33,0.15,61.91,-6.29,173.57,-28.23,37.22
495,Home First Finan,1186.70,27.20,12329.09,0.31,131.85,42.96,477.32,28.00,11.35
496,Privi Speci.,3131.85,45.84,12233.81,0.16,90.21,110.28,678.71,27.39,16.42
497,JK Tyre & Indust,446.40,22.43,12232.26,0.67,226.86,58.99,4011.31,10.76,12.78
498,AAVAS Financiers,1540.10,20.20,12194.41,0.00,163.93,10.83,667.02,15.17,10.09
499,PCBL Chemical,309.60,34.88,12181.70,1.94,61.70,-50.12,2163.57,0.02,11.82
500,Cello World,546.75,36.26,12076.83,0.28,91.32,4.92,587.44,19.87,23.72
